vote_intention,consider_trump,not_trump,primary_party,education,state,race,gender,age_group
Yes,No,Other,Democratic,High school or less,MO,White,Male,30-49
Yes,No,Other,Democratic,Some college,TN,White,Female,50-69
Yes,Yes,No,Republican,College degree,PA,White,Male,30-49
Yes,Yes,No,Other,High school or less,FL,White,Female,50-69
Yes,No,Other,Democratic,College degree,OK,White,Female,30-49
Yes,No,Other,Other,High school or less,VA,Black,Female,18-29
Yes,No,Other,Democratic,Postgrad,LA,White,Female,70+
Yes,Yes,No,Republican,High school or less,KY,White,Female,30-49
Other,No,Other,Other,High school or less,KS,White,Male,18-29
Yes,No,Other,Democratic,Postgrad,CA,White,Female,50-69
Yes,No,Other,Democratic,Some college,SC,Black,Female,18-29
Yes,No,Other,Democratic,Some college,AL,Black,Female,18-29
Yes,No,Other,Other,College degree,TX,White,Male,30-49
Yes,No,Other,Democratic,High school or less,LA,Black,Female,18-29
Yes,No,Other,Democratic,College degree,AZ,White,Female,18-29
Yes,Yes,No,Republican,High school or less,CA,White,Female,70+
Yes,No,Other,Democratic,College degree,TX,Asian,Female,30-49
Yes,Yes,Other,Other,Some college,MI,White,Male,30-49
Yes,Other,Other,Other,College degree,NY,White,Male,50-69
Yes,Yes,No,Other,Some college,OK,American Indian,Female,50-69
Yes,Yes,Yes,Other,College degree,CA,White,Female,18-29
Yes,No,Other,Democratic,Some college,MA,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,CA,Black,Female,70+
Yes,No,Other,Other,Some college,MS,Black,Female,30-49
Yes,Yes,Yes,Republican,College degree,TX,White,Male,70+
Yes,Yes,Yes,Republican,Some college,CO,White,Male,70+
Yes,No,Other,Democratic,Postgrad,CA,White,Female,30-49
No,Yes,Other,Republican,Some college,FL,White,Male,30-49
Yes,No,Other,Democratic,Some college,PA,Black,Female,50-69
Yes,Yes,Yes,Democratic,Some college,PA,Black,Female,30-49
Yes,No,Other,Democratic,College degree,TX,White,Female,50-69
Yes,No,Other,Republican,High school or less,FL,Black,Female,18-29
Yes,Yes,No,Republican,High school or less,FL,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,OK,Other,Female,70+
Yes,No,Other,Republican,Some college,GA,Asian,Female,30-49
Other,No,Other,Other,High school or less,CT,Other,Female,30-49
Other,No,Other,Other,High school or less,TX,Black,Male,30-49
Yes,No,Other,Republican,Some college,NM,Asian,Male,50-69
Yes,Yes,Yes,Republican,Some college,CO,White,Female,30-49
Other,Other,Other,Other,High school or less,CA,Other,Female,18-29
Yes,No,Other,Democratic,College degree,CA,Other,Female,30-49
No,No,Other,Democratic,High school or less,PA,Black,Female,30-49
Yes,Yes,Other,Republican,High school or less,MO,White,Female,30-49
Yes,No,Other,Other,High school or less,WI,Black,Female,18-29
Yes,No,Other,Democratic,High school or less,KS,Black,Female,18-29
Yes,Yes,No,Republican,Some college,TX,White,Female,30-49
Yes,No,Other,Democratic,College degree,NJ,White,Male,30-49
Yes,No,Other,Democratic,College degree,IL,Black,Female,30-49
Other,Yes,No,Democratic,Some college,IL,Black,Female,30-49
No,No,Other,Other,College degree,WA,Asian,Female,50-69
No,Other,No,Other,High school or less,GA,Black,Male,50-69
Yes,No,Other,Democratic,High school or less,TN,White,Male,50-69
Yes,No,Other,Democratic,Some college,TN,Black,Female,50-69
Other,No,Other,Democratic,High school or less,TN,White,Male,50-69
Yes,Yes,No,Republican,High school or less,GA,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,CA,Asian,Female,30-49
Other,Other,Yes,Democratic,Some college,CA,Other,Female,30-49
No,No,Other,Democratic,High school or less,AZ,Black,Female,18-29
Yes,Yes,Other,Republican,Some college,AZ,White,Male,70+
Yes,No,Other,Other,Postgrad,TX,White,Female,70+
Yes,Yes,Other,Other,Some college,MN,White,Male,50-69
Yes,Other,Yes,Other,Some college,OK,White,Female,30-49
Yes,No,Other,Other,College degree,CT,White,Female,50-69
Other,Yes,No,Republican,High school or less,SC,White,Male,30-49
Yes,No,Other,Other,Some college,AR,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,TX,Black,Female,50-69
Yes,Other,Yes,Republican,College degree,NJ,White,Male,70+
Yes,Yes,No,Republican,Some college,AZ,White,Female,50-69
Yes,Yes,Yes,Republican,Postgrad,NY,White,Male,30-49
Yes,Yes,Yes,Republican,Some college,NY,White,Male,70+
Yes,Yes,Yes,Other,College degree,UT,Asian,Male,30-49
Yes,Yes,No,Other,Postgrad,CA,Asian,Male,50-69
Yes,No,Other,Democratic,College degree,NC,White,Female,18-29
Yes,No,Other,Republican,College degree,UT,White,Male,30-49
Yes,No,Other,Democratic,College degree,MS,White,Male,18-29
Yes,Yes,No,Republican,High school or less,NC,White,Female,50-69
Yes,Other,Yes,Other,College degree,OH,White,Female,18-29
No,No,Other,Other,Some college,WA,White,Female,30-49
Yes,Yes,No,Republican,Some college,PA,White,Male,70+
Yes,No,Other,Other,Postgrad,VT,Other,Female,18-29
Yes,Yes,Yes,Other,Some college,WI,White,Male,70+
Yes,Yes,No,Republican,Postgrad,PA,White,Male,70+
Yes,No,Other,Democratic,Some college,FL,White,Female,30-49
Yes,Yes,Other,Republican,High school or less,GA,White,Male,30-49
Other,Yes,No,Other,Some college,GA,White,Male,18-29
Yes,Other,Other,Democratic,College degree,WA,White,Male,30-49
Yes,Yes,No,Republican,College degree,NY,White,Female,18-29
Yes,Yes,Other,Republican,Postgrad,PA,White,Male,70+
Yes,Yes,No,Republican,College degree,TX,White,Male,70+
Yes,No,Other,Democratic,Some college,OR,White,Female,70+
Yes,Yes,No,Republican,Some college,OH,White,Male,70+
Yes,Yes,No,Republican,Some college,CA,White,Male,50-69
Yes,Yes,Other,Other,College degree,IN,White,Male,30-49
Other,Yes,Other,Other,Some college,TX,White,Female,30-49
Yes,No,Other,Republican,College degree,FL,Other,Female,50-69
Yes,No,Other,Democratic,High school or less,OH,White,Female,18-29
Yes,Yes,Yes,Other,Some college,NY,White,Male,70+
Yes,No,Other,Democratic,Some college,WI,White,Female,18-29
Yes,Yes,Yes,Republican,Postgrad,AK,White,Male,30-49
Yes,No,Other,Republican,College degree,UT,White,Male,30-49
Yes,No,Other,Democratic,High school or less,NC,White,Male,18-29
Yes,No,Other,Democratic,Some college,MI,White,Female,18-29
Other,No,Other,Democratic,High school or less,IA,White,Female,18-29
Yes,Yes,No,Republican,Postgrad,PA,White,Male,70+
Yes,No,Other,Democratic,College degree,GA,White,Male,18-29
Other,Other,Other,Other,High school or less,AZ,White,Male,50-69
Other,No,Other,Other,High school or less,TX,American Indian,Female,18-29
Yes,Yes,Yes,Republican,Postgrad,MN,White,Male,30-49
Yes,Yes,No,Republican,Some college,OR,White,Male,70+
Yes,Yes,Yes,Democratic,College degree,FL,White,Male,30-49
Yes,No,Other,Democratic,High school or less,FL,Black,Female,50-69
Other,No,Other,Other,High school or less,LA,White,Female,30-49
Yes,No,Other,Democratic,Some college,MI,Black,Female,18-29
Yes,No,Other,Democratic,Some college,CA,White,Male,30-49
Other,No,Other,Other,Postgrad,MO,White,Male,70+
Yes,Yes,No,Republican,Some college,PA,White,Male,30-49
Yes,No,Other,Democratic,Some college,VA,Asian,Female,18-29
Yes,Yes,Yes,Republican,Postgrad,FL,White,Male,30-49
Yes,No,Other,Democratic,High school or less,PA,Black,Female,18-29
Yes,No,Other,Democratic,High school or less,OK,Black,Male,30-49
Yes,No,Other,Democratic,Postgrad,IN,White,Male,30-49
Other,No,Other,Democratic,High school or less,TX,White,Female,18-29
Yes,No,Other,Republican,Some college,PA,White,Male,70+
No,Yes,No,Other,Some college,PA,White,Male,18-29
Yes,Yes,Yes,Republican,Some college,TN,White,Male,18-29
No,Yes,No,Republican,High school or less,IN,White,Male,18-29
No,No,Other,Other,Postgrad,TN,White,Male,30-49
Yes,Yes,No,Republican,High school or less,WA,Other,Female,50-69
Yes,Other,Yes,Other,Some college,NV,White,Female,18-29
Yes,No,Other,Other,High school or less,NV,American Indian,Male,50-69
Yes,Yes,Other,Republican,Some college,OH,White,Male,18-29
Yes,Yes,Yes,Republican,Some college,FL,White,Male,70+
Yes,Yes,Yes,Other,Some college,FL,White,Male,70+
Yes,Yes,Yes,Republican,College degree,OH,White,Female,18-29
Yes,Yes,No,Republican,Postgrad,IL,White,Male,50-69
Yes,Yes,No,Republican,Postgrad,MS,White,Male,50-69
Yes,Yes,Yes,Republican,Some college,NY,White,Male,30-49
Yes,Yes,No,Republican,College degree,CA,White,Male,50-69
Yes,No,Other,Democratic,Some college,AZ,White,Female,50-69
Yes,Yes,Yes,Republican,Postgrad,LA,White,Male,30-49
Yes,Yes,Yes,Republican,College degree,OH,White,Male,30-49
Yes,Yes,No,Republican,Postgrad,GA,White,Male,70+
Yes,No,Other,Other,Some college,IL,Other,Female,18-29
No,No,Other,Other,Postgrad,TX,Other,Female,30-49
Yes,No,Other,Democratic,High school or less,FL,White,Male,70+
No,Yes,No,Other,Some college,PA,White,Male,18-29
Yes,No,Other,Democratic,Some college,MD,Black,Female,50-69
Yes,No,Other,Republican,Postgrad,FL,White,Male,70+
Yes,No,Other,Democratic,Some college,FL,Black,Male,30-49
Yes,Yes,No,Republican,Some college,OH,White,Male,70+
Yes,No,Other,Other,High school or less,MA,White,Female,18-29
Other,No,Other,Other,College degree,CA,Asian,Female,30-49
Yes,No,Other,Other,Some college,UT,White,Female,18-29
Yes,No,Other,Democratic,College degree,CA,White,Female,18-29
Yes,Yes,Yes,Republican,Postgrad,FL,White,Male,30-49
Yes,Yes,No,Democratic,High school or less,WI,Black,Male,30-49
Yes,Other,Yes,Other,Some college,IA,White,Female,30-49
Other,Yes,Yes,Republican,High school or less,NJ,White,Male,50-69
Yes,Yes,No,Republican,Some college,OH,White,Male,50-69
Other,Other,Other,Other,High school or less,MD,Other,Female,30-49
Yes,No,Other,Other,High school or less,AZ,White,Female,18-29
Yes,Yes,No,Republican,College degree,GA,White,Male,70+
Other,No,Other,Democratic,Some college,PA,White,Female,18-29
Yes,Yes,No,Other,Some college,MI,White,Male,50-69
Yes,No,Other,Democratic,College degree,PA,White,Female,18-29
Yes,No,Other,Republican,College degree,WI,White,Male,30-49
Yes,Yes,No,Other,College degree,MI,White,Male,50-69
Yes,No,Other,Democratic,College degree,MA,White,Male,50-69
Yes,Other,No,Republican,College degree,FL,Other,Female,18-29
Yes,No,Other,Other,College degree,CO,White,Male,30-49
Yes,Yes,No,Republican,High school or less,NY,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,NC,White,Female,50-69
Yes,No,Other,Other,High school or less,PA,White,Male,50-69
Yes,Yes,No,Republican,Some college,TN,White,Male,70+
Yes,No,Other,Democratic,High school or less,WA,White,Male,50-69
Yes,No,Other,Other,College degree,MS,White,Male,18-29
Yes,No,Other,Other,College degree,TX,White,Female,18-29
Yes,No,Other,Democratic,High school or less,MD,White,Female,18-29
Yes,Other,Other,Democratic,Postgrad,NY,White,Male,50-69
Yes,No,Other,Democratic,High school or less,GA,Black,Female,18-29
Yes,No,Other,Democratic,High school or less,MA,White,Male,30-49
Yes,No,Other,Democratic,Some college,TX,White,Female,30-49
Yes,Yes,Yes,Republican,College degree,NY,White,Male,70+
Yes,No,Other,Democratic,Some college,MO,Black,Male,30-49
Yes,No,Other,Democratic,Some college,OR,White,Female,30-49
Yes,No,Other,Democratic,Some college,VA,Black,Female,18-29
Yes,Yes,No,Republican,Some college,WA,White,Male,50-69
Yes,Yes,Yes,Democratic,Postgrad,TX,White,Male,18-29
Other,No,Other,Other,Some college,KS,White,Male,30-49
Yes,No,Other,Other,High school or less,FL,Black,Male,18-29
Yes,Yes,No,Republican,College degree,LA,Black,Female,50-69
Yes,No,Other,Other,High school or less,IL,Black,Female,18-29
Yes,No,Other,Democratic,Postgrad,WI,White,Female,18-29
Yes,Yes,No,Republican,College degree,FL,White,Male,30-49
Yes,Other,Other,Republican,High school or less,MA,White,Female,18-29
Yes,Other,Other,Democratic,High school or less,CT,Black,Male,18-29
No,No,Other,Democratic,High school or less,OK,White,Male,18-29
Yes,No,Other,Republican,Some college,OR,White,Male,70+
No,No,Other,Other,High school or less,LA,Black,Male,30-49
Yes,Yes,Yes,Republican,College degree,CA,White,Male,30-49
Yes,Yes,No,Republican,High school or less,NY,White,Male,30-49
Yes,Yes,Other,Democratic,Some college,SD,White,Female,18-29
Yes,Yes,No,Republican,Some college,AK,White,Male,30-49
Yes,No,Other,Democratic,Some college,MD,Black,Male,30-49
Yes,Yes,No,Republican,Some college,MO,White,Male,30-49
Yes,Yes,No,Democratic,Some college,MN,American Indian,Male,30-49
Yes,No,Other,Other,High school or less,FL,White,Male,18-29
Yes,Other,Yes,Democratic,College degree,IL,White,Female,30-49
Yes,No,Other,Democratic,Some college,AZ,White,Female,30-49
Yes,No,Other,Democratic,College degree,TX,Black,Male,50-69
Yes,No,Other,Other,Postgrad,CO,Other,Female,30-49
Yes,Yes,Other,Republican,Some college,SC,White,Male,18-29
Yes,No,Other,Democratic,Some college,OR,White,Male,70+
Other,No,Other,Other,High school or less,TX,Black,Male,18-29
No,No,Other,Other,High school or less,IL,White,Male,50-69
Yes,No,Other,Democratic,College degree,NC,Black,Female,30-49
Yes,Yes,Yes,Democratic,College degree,NC,White,Female,18-29
Other,No,Other,Other,Some college,CO,Other,Male,30-49
Yes,No,Other,Democratic,Postgrad,NY,White,Female,18-29
Other,No,Other,Other,Some college,NY,Black,Male,30-49
Other,Other,Yes,Other,High school or less,MI,Other,Male,18-29
Yes,No,Other,Democratic,Some college,PA,White,Male,30-49
Yes,No,Other,Democratic,College degree,CA,White,Male,50-69
Yes,Yes,No,Republican,Some college,NJ,White,Male,30-49
Yes,No,Other,Democratic,College degree,NJ,Black,Male,30-49
Yes,No,Other,Democratic,Some college,KY,Black,Male,50-69
Yes,No,Other,Republican,High school or less,MD,Black,Female,30-49
Other,Yes,Other,Other,Some college,NC,White,Male,30-49
Yes,Yes,No,Other,Some college,KS,White,Male,50-69
Yes,Yes,No,Republican,Some college,WA,White,Female,18-29
No,No,Other,Other,Some college,SC,White,Female,50-69
Yes,No,Other,Democratic,College degree,SC,White,Male,70+
Yes,Yes,No,Republican,Postgrad,VA,White,Female,70+
Yes,No,Other,Democratic,Some college,IL,White,Female,30-49
Yes,No,Other,Other,College degree,WI,White,Male,50-69
Yes,Yes,No,Republican,High school or less,TX,White,Female,50-69
Other,No,Other,Other,High school or less,TX,White,Female,30-49
Yes,Other,Other,Democratic,College degree,CA,Asian,Female,18-29
Other,No,Other,Other,Some college,IL,White,Male,18-29
Yes,No,Other,Democratic,Some college,NY,Black,Female,18-29
Yes,Yes,Yes,Republican,Some college,MI,White,Male,50-69
Yes,No,Other,Democratic,Some college,NJ,White,Male,50-69
Yes,Yes,Yes,Republican,Some college,VA,White,Female,30-49
No,Yes,No,Republican,High school or less,TX,White,Male,30-49
Yes,Other,Yes,Other,High school or less,TX,Other,Female,30-49
Yes,Yes,No,Republican,College degree,NY,White,Male,50-69
Yes,Yes,Other,Other,High school or less,FL,Black,Female,30-49
Yes,No,Other,Democratic,Some college,DC,Black,Female,50-69
No,Other,Other,Other,High school or less,GA,Other,Female,18-29
Other,Other,Other,Other,High school or less,IL,White,Male,18-29
No,No,Other,Other,College degree,MN,White,Female,30-49
Yes,No,Other,Other,Some college,TX,White,Male,18-29
No,No,Other,Other,High school or less,SD,Other,Female,18-29
No,Yes,Other,Other,Some college,GA,White,Female,30-49
Yes,Other,Other,Other,High school or less,WA,White,Male,30-49
Yes,No,Other,Democratic,Postgrad,OH,White,Female,50-69
Yes,Yes,No,Republican,College degree,TN,White,Female,70+
Yes,Yes,No,Republican,Some college,PA,Black,Male,50-69
Yes,No,Other,Democratic,Postgrad,VA,White,Female,30-49
Yes,Yes,Yes,Republican,Some college,IN,White,Male,30-49
Yes,Yes,Other,Other,College degree,MN,White,Female,30-49
Yes,No,Other,Democratic,College degree,PA,Black,Female,30-49
Yes,No,Other,Democratic,Some college,MA,White,Female,30-49
Yes,Other,Yes,Republican,Postgrad,CA,White,Female,50-69
Yes,No,Other,Democratic,Some college,MO,Black,Female,30-49
No,Other,Other,Other,High school or less,FL,Other,Female,30-49
Yes,No,Other,Other,High school or less,VA,White,Male,50-69
Yes,Yes,No,Republican,Some college,NC,Black,Female,18-29
Yes,No,Other,Other,High school or less,WI,Black,Female,18-29
Yes,Yes,No,Republican,Some college,AL,White,Male,30-49
Yes,No,Other,Democratic,High school or less,FL,White,Male,30-49
Yes,Yes,No,Republican,Some college,TX,White,Female,50-69
Yes,No,Other,Democratic,Some college,TX,White,Male,18-29
Yes,No,Other,Democratic,Some college,FL,Black,Female,30-49
Yes,No,Other,Other,Some college,NE,Other,Female,18-29
Other,No,Other,Other,High school or less,OH,White,Female,18-29
Yes,No,Other,Democratic,College degree,CO,White,Male,18-29
Yes,No,Other,Republican,High school or less,IL,Other,Female,18-29
Yes,Yes,No,Republican,Some college,MN,White,Female,50-69
No,No,Other,Other,High school or less,VA,White,Male,18-29
Yes,Yes,Yes,Republican,Postgrad,NV,White,Female,30-49
Yes,No,Other,Other,Some college,IL,White,Female,70+
Yes,Yes,No,Republican,High school or less,IN,Other,Male,30-49
Yes,Yes,No,Republican,Some college,MO,White,Male,30-49
Yes,Yes,Other,Republican,Some college,IL,White,Female,50-69
Yes,No,Other,Democratic,College degree,NV,Black,Female,18-29
Yes,No,Other,Other,High school or less,FL,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,FL,White,Male,30-49
Other,No,Other,Other,Some college,CA,White,Female,30-49
Yes,Yes,Yes,Republican,Postgrad,NV,White,Male,30-49
Yes,No,Other,Democratic,Some college,NC,White,Male,18-29
Yes,No,Other,Democratic,High school or less,NY,Other,Female,18-29
Yes,No,Other,Democratic,Some college,AZ,Other,Female,30-49
Yes,No,Other,Democratic,High school or less,CA,Other,Female,18-29
Other,No,Other,Other,High school or less,TX,White,Female,18-29
Other,Yes,No,Republican,High school or less,PA,White,Male,50-69
Yes,Yes,No,Other,High school or less,CA,White,Male,30-49
Yes,Yes,Yes,Other,Some college,FL,White,Male,50-69
Yes,Yes,No,Republican,Some college,UT,White,Female,18-29
Yes,Yes,No,Republican,Some college,MD,White,Male,50-69
No,Yes,No,Other,College degree,IN,Black,Male,30-49
Yes,Yes,No,Republican,College degree,NY,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,NY,White,Female,18-29
Yes,No,Other,Other,Postgrad,NV,Asian,Female,50-69
Yes,No,Other,Republican,Postgrad,MA,White,Male,30-49
Yes,Yes,Yes,Republican,Postgrad,AZ,White,Male,30-49
Yes,No,Other,Democratic,Some college,GA,White,Male,18-29
Yes,No,Other,Republican,Postgrad,CA,Other,Female,30-49
Yes,No,Other,Other,Postgrad,TX,Black,Female,30-49
Yes,No,Other,Democratic,College degree,FL,White,Male,50-69
Yes,Yes,Other,Republican,College degree,MT,White,Male,30-49
Yes,Yes,Yes,Democratic,College degree,MS,Black,Male,30-49
No,Other,Other,Republican,Some college,CA,White,Male,18-29
Yes,No,Other,Democratic,Some college,CA,White,Male,30-49
Yes,No,Other,Democratic,High school or less,NE,White,Male,30-49
Yes,Yes,Yes,Republican,Postgrad,NY,White,Female,30-49
Yes,Yes,Yes,Republican,Postgrad,AZ,Asian,Female,50-69
Other,No,Other,Republican,College degree,FL,Asian,Female,30-49
Yes,No,Other,Other,Some college,NC,Black,Female,30-49
No,No,Other,Other,High school or less,CT,Black,Female,50-69
Yes,No,Other,Democratic,Some college,GA,Black,Female,30-49
Yes,Yes,No,Republican,Some college,GA,White,Male,50-69
Yes,No,Other,Democratic,Some college,WA,White,Male,50-69
Yes,No,Other,Democratic,College degree,NC,White,Male,30-49
Yes,No,Other,Democratic,High school or less,FL,White,Male,18-29
Yes,Yes,Other,Republican,College degree,UT,White,Male,50-69
Yes,No,Other,Other,Some college,PA,White,Male,50-69
Yes,Yes,Other,Other,Some college,FL,White,Male,70+
Yes,No,Other,Other,Some college,FL,Other,Male,18-29
Yes,No,Other,Other,College degree,CO,White,Male,50-69
Yes,Yes,Yes,Republican,Some college,FL,White,Male,70+
Yes,Yes,No,Republican,High school or less,IN,White,Male,30-49
Yes,No,Other,Democratic,Some college,GA,White,Male,30-49
Yes,No,Other,Democratic,College degree,CO,White,Male,30-49
Yes,Yes,Yes,Republican,Postgrad,ME,White,Male,18-29
Yes,No,Other,Democratic,College degree,MD,White,Male,18-29
No,No,Other,Other,Some college,NE,White,Male,70+
Yes,Yes,No,Republican,College degree,VA,White,Male,70+
Yes,No,Other,Democratic,Some college,OH,Black,Female,50-69
Other,Yes,No,Republican,High school or less,IN,White,Male,18-29
Yes,Yes,No,Republican,College degree,AZ,White,Male,70+
Yes,No,Other,Democratic,Some college,FL,White,Female,30-49
Yes,Yes,Yes,Other,Some college,CO,White,Male,30-49
Yes,Yes,Yes,Other,College degree,LA,White,Male,18-29
Yes,No,Other,Democratic,Some college,IL,White,Male,18-29
Yes,Yes,No,Republican,High school or less,NJ,White,Female,30-49
Yes,No,Other,Other,Postgrad,AL,Black,Female,18-29
Yes,No,Other,Democratic,Some college,NJ,White,Male,30-49
Yes,Yes,No,Other,Some college,CO,White,Female,50-69
Other,Yes,Other,Democratic,Some college,CA,Other,Male,30-49
No,No,Other,Other,Some college,WI,White,Male,70+
Yes,Yes,No,Republican,Some college,SC,White,Male,30-49
Yes,Yes,No,Republican,Some college,OH,White,Male,50-69
Other,No,Other,Other,Some college,AZ,White,Female,18-29
Yes,No,Other,Other,College degree,MN,White,Male,50-69
Yes,Yes,No,Republican,College degree,WY,White,Male,30-49
Yes,No,Other,Democratic,Some college,OR,White,Female,50-69
Other,No,Other,Other,Some college,FL,Black,Female,30-49
Other,Yes,Other,Other,High school or less,GA,White,Male,30-49
Other,No,Other,Other,Some college,ME,White,Male,18-29
Yes,Other,Other,Other,College degree,ID,White,Male,50-69
Yes,Yes,Yes,Republican,Some college,ME,White,Female,18-29
Yes,Other,Other,Other,Some college,LA,White,Female,50-69
Yes,Yes,Yes,Republican,Some college,MS,Black,Male,30-49
Yes,No,Other,Democratic,Some college,AZ,White,Female,18-29
Yes,Other,Other,Other,High school or less,MI,White,Female,50-69
Yes,Yes,No,Other,Postgrad,WA,Other,Female,50-69
No,Yes,No,Republican,Some college,CA,White,Male,50-69
No,No,Other,Other,College degree,VA,Black,Male,50-69
Yes,No,Other,Democratic,Some college,KY,White,Male,30-49
Yes,Yes,No,Republican,College degree,FL,Other,Female,50-69
Yes,Yes,Yes,Republican,Postgrad,IN,White,Male,30-49
Yes,No,Other,Other,Some college,NY,White,Male,18-29
Yes,No,Other,Democratic,High school or less,CA,White,Male,30-49
Yes,No,Other,Democratic,College degree,IL,White,Female,70+
Yes,Yes,No,Republican,High school or less,FL,White,Female,18-29
Yes,Yes,No,Republican,College degree,AL,Other,Female,70+
Other,No,Other,Other,High school or less,GA,Black,Male,18-29
No,Yes,Other,Other,Some college,OH,White,Male,70+
Yes,No,Other,Democratic,Some college,IL,White,Male,50-69
Yes,Yes,Other,Republican,Some college,CA,White,Male,30-49
Yes,No,Other,Other,Some college,OK,Black,Male,30-49
Other,Yes,No,Other,High school or less,TX,White,Male,18-29
Yes,No,Other,Democratic,Postgrad,TN,White,Male,50-69
Yes,No,Other,Democratic,Some college,GA,Black,Male,18-29
Yes,Yes,Yes,Other,College degree,FL,White,Male,70+
Yes,No,Other,Democratic,Some college,CA,Other,Female,30-49
Yes,Yes,No,Republican,Some college,TX,Black,Female,18-29
Yes,Yes,Yes,Republican,Some college,LA,Black,Female,18-29
Yes,Yes,Yes,Other,High school or less,CA,White,Male,30-49
Yes,Other,Other,Democratic,High school or less,NY,Other,Male,18-29
No,No,Other,Other,Some college,CA,White,Male,30-49
Yes,Yes,No,Republican,Some college,PA,White,Male,50-69
Yes,No,Other,Democratic,High school or less,TX,White,Male,30-49
Other,Other,Other,Other,College degree,AZ,White,Female,30-49
Yes,Yes,Other,Republican,Some college,ID,White,Female,18-29
Yes,No,Other,Democratic,College degree,CA,White,Female,30-49
Yes,No,Other,Democratic,High school or less,CA,Other,Male,18-29
Yes,Yes,Yes,Democratic,Postgrad,AZ,American Indian,Female,30-49
Yes,Yes,No,Republican,College degree,NJ,White,Female,50-69
Yes,Yes,Yes,Democratic,High school or less,LA,White,Male,18-29
Yes,Yes,No,Republican,Postgrad,GA,White,Male,50-69
No,No,Other,Republican,High school or less,LA,Black,Male,18-29
Yes,No,Other,Other,Postgrad,NC,White,Male,50-69
Yes,No,Other,Other,Some college,CO,Asian,Female,18-29
Other,No,Other,Other,College degree,HI,Asian,Female,50-69
Yes,Yes,No,Republican,Some college,CO,White,Female,50-69
Yes,No,Other,Democratic,Some college,CO,White,Male,30-49
Yes,Other,Yes,Other,Some college,MD,White,Male,30-49
Yes,Other,Yes,Other,College degree,AZ,White,Male,30-49
No,No,Other,Democratic,Some college,IN,White,Female,30-49
No,No,Other,Other,Some college,PA,White,Female,18-29
Yes,Yes,No,Republican,Some college,TX,White,Male,50-69
Yes,Other,Other,Republican,College degree,CA,White,Female,50-69
Yes,Yes,Yes,Other,Some college,NE,Other,Female,30-49
Yes,Yes,Other,Republican,College degree,CA,White,Female,18-29
Yes,No,Other,Democratic,Some college,RI,White,Female,50-69
Yes,Yes,Other,Other,College degree,NY,White,Female,70+
Yes,No,Other,Other,College degree,MI,White,Female,30-49
Yes,Yes,No,Republican,Some college,MO,White,Female,18-29
Yes,No,Other,Democratic,High school or less,NM,Other,Female,30-49
Other,Other,Other,Other,High school or less,FL,White,Female,30-49
No,No,Other,Other,Some college,VA,White,Female,18-29
Yes,Yes,Other,Republican,High school or less,TN,White,Female,18-29
Yes,Yes,No,Republican,Some college,MS,White,Female,30-49
Yes,Yes,No,Republican,Some college,TX,White,Female,50-69
No,No,Other,Other,High school or less,VA,White,Male,18-29
Yes,Yes,No,Republican,Some college,MN,White,Female,30-49
Other,No,Other,Democratic,Postgrad,TX,Black,Male,18-29
Yes,Yes,Other,Republican,Some college,KS,White,Female,70+
Yes,Yes,Yes,Republican,High school or less,PA,White,Female,30-49
No,No,Other,Other,Some college,OH,White,Female,30-49
No,Other,Other,Other,Some college,RI,White,Female,30-49
Yes,Yes,No,Republican,College degree,CA,White,Female,50-69
Yes,Yes,No,Other,High school or less,TN,White,Female,18-29
Yes,No,Other,Republican,Postgrad,AZ,White,Female,50-69
Yes,No,Other,Democratic,College degree,IL,White,Female,30-49
Yes,No,Other,Other,High school or less,PA,Other,Male,18-29
Yes,No,Other,Democratic,Postgrad,WA,White,Female,30-49
Yes,No,Other,Democratic,High school or less,OH,White,Female,30-49
No,No,Other,Other,Some college,NC,White,Female,18-29
No,Yes,No,Other,Some college,GA,White,Female,18-29
Yes,No,Other,Other,Postgrad,MA,White,Female,50-69
No,No,Other,Other,High school or less,NC,Other,Male,18-29
Other,No,Other,Other,High school or less,PA,White,Male,50-69
Yes,Yes,Other,Republican,Some college,NJ,White,Female,70+
Yes,No,Other,Other,Some college,MO,White,Female,18-29
Yes,Yes,Yes,Republican,College degree,VA,White,Female,30-49
Yes,Yes,Yes,Other,Some college,MI,White,Female,30-49
Yes,No,Other,Democratic,High school or less,PA,White,Female,18-29
Other,Yes,No,Republican,Some college,NY,White,Female,30-49
Other,No,Other,Other,Postgrad,MI,White,Female,30-49
Yes,No,Other,Democratic,College degree,IA,White,Female,30-49
Yes,Yes,No,Republican,Postgrad,IL,Asian,Male,70+
Yes,Other,Other,Other,High school or less,MA,Black,Female,50-69
Yes,No,Other,Other,Some college,NJ,Black,Male,30-49
Yes,No,Other,Democratic,College degree,MS,White,Female,18-29
Other,No,Other,Other,Some college,OH,Other,Female,18-29
No,Yes,Other,Other,Some college,AZ,White,Female,50-69
Yes,Yes,No,Republican,Some college,TN,White,Female,70+
